customer_id,segment,predicted_clv,holdout_spend,cal_frequency,recency_days
84,Segment 1,255.71,197.88,2,207.0
85,Segment 4,2879.69,3687.7,3,26.0
86,Segment 2,188.82,0.0,0,203.0
87,Segment 4,1064.5,655.96,4,104.0
88,Segment 2,386.66,1773.72,0,62.0
89,Segment 1,547.72,925.18,2,46.0
90,Segment 2,485.25,425.48,2,92.0
91,Segment 0,107.29,0.0,0,413.0
92,Segment 2,154.66,0.0,0,264.0
93,Segment 1,283.32,298.7,0,111.0
94,Segment 2,816.88,605.03,1,14.0
95,Segment 2,584.27,517.2,2,8.0
96,Segment 4,787.49,467.45,3,124.0
97,Segment 0,333.15,0.0,1,330.0
98,Segment 0,91.5,0.0,0,497.0
99,Segment 4,6981.4,9728.43,33,18.0
100,Segment 1,2980.23,3150.12,14,75.0
101,Segment 4,2378.22,4158.76,17,8.0
102,Segment 2,179.71,669.38,0,217.0
103,Segment 1,3538.88,3654.13,10,26.0
104,Segment 4,3368.85,8555.29,4,47.0
105,Segment 4,1414.03,1496.36,4,75.0
106,Segment 4,2275.66,2243.77,8,12.0
107,Segment 4,457.57,0.0,4,384.0
108,Segment 4,991.94,1175.47,13,13.0
109,Segment 4,699.02,2902.7,5,144.0
110,Segment 0,127.15,0.0,0,337.0
111,Segment 2,167.04,0.0,0,239.0
112,Segment 0,85.37,0.0,0,538.0
113,Segment 2,240.17,0.0,0,144.0
114,Segment 4,1421.68,3790.21,11,22.0
115,Segment 2,183.5,227.21,0,211.0
116,Segment 1,674.33,183.24,0,5.0
117,Segment 1,459.74,400.76,5,4.0
118,Segment 1,100.09,0.0,0,448.0
119,Segment 0,104.08,0.0,0,428.0
120,Segment 4,1176.2,953.1,1,208.0
121,Segment 0,118.22,0.0,0,368.0
122,Segment 4,861.24,2888.07,10,74.0
123,Segment 1,240.17,0.0,0,144.0
124,Segment 2,1158.62,1517.22,2,25.0
125,Segment 0,112.13,0.0,0,392.0
126,Segment 0,163.04,92.65,1,225.0
127,Segment 1,180.33,0.0,0,216.0
128,Segment 2,462.64,0.0,0,40.0
129,Segment 1,232.45,690.65,1,106.0
130,Segment 2,316.04,0.0,0,92.0
131,Segment 4,767.88,217.52,5,133.0
132,Segment 1,168.66,0.0,0,236.0
133,Segment 4,404.69,0.0,1,75.0
134,Segment 2,222.71,0.0,0,161.0
135,Segment 0,286.26,1186.06,1,238.0
136,Segment 1,146.0,276.84,0,284.0
137,Segment 2,1075.72,828.7,2,12.0
138,Segment 4,888.84,1173.38,15,60.0
139,Segment 4,2718.83,1472.34,12,12.0
140,Segment 1,180.61,0.0,2,306.0
141,Segment 2,301.5,63.79,3,102.0
142,Segment 2,470.62,958.82,1,84.0
143,Segment 1,127.46,0.0,0,336.0
144,Segment 4,895.63,746.63,6,41.0
145,Segment 1,91.98,125.22,0,494.0
146,Segment 1,140.92,0.0,1,435.0
147,Segment 2,180.33,0.0,0,216.0
148,Segment 2,201.21,363.95,0,186.0
149,Segment 4,1528.9,1050.66,4,70.0
150,Segment 4,3883.63,6402.96,19,0.0
151,Segment 2,323.92,556.78,0,88.0
152,Segment 1,135.95,0.0,1,292.0
153,Segment 2,158.42,0.0,0,256.0
154,Segment 2,372.77,288.24,0,67.0
155,Segment 2,243.46,0.0,2,5.0
156,Segment 0,159.82,0.0,3,383.0
157,Segment 2,218.96,0.0,0,165.0
158,Segment 2,1282.86,1773.93,6,12.0
159,Segment 2,158.42,0.0,0,256.0
160,Segment 4,2682.83,7136.34,5,64.0
161,Segment 2,316.68,0.0,1,118.0
162,Segment 2,284.87,0.0,0,110.0
163,Segment 2,743.94,2994.78,2,6.0
164,Segment 2,180.33,0.0,0,216.0
165,Segment 2,367.48,0.0,0,69.0
166,Segment 1,308.54,0.0,0,96.0
167,Segment 4,1803.26,4852.62,8,9.0
168,Segment 0,99.33,0.0,0,452.0
169,Segment 2,1255.7,2312.37,3,26.0
170,Segment 2,483.01,0.0,4,35.0
171,Segment 2,265.94,0.0,0,123.0
172,Segment 0,203.87,0.0,1,265.0
173,Segment 4,535.27,885.33,4,26.0
174,Segment 4,358.79,395.56,3,167.0
175,Segment 1,1116.47,989.85,2,138.0
176,Segment 4,258.66,0.0,1,54.0
177,Segment 4,508.34,0.0,3,46.0
178,Segment 4,2481.62,3802.95,16,8.0
179,Segment 1,323.92,1465.02,0,88.0
180,Segment 1,685.19,0.0,1,42.0
181,Segment 4,467.43,196.94,2,182.0
182,Segment 1,208.44,174.9,1,207.0
183,Segment 4,496.62,574.68,2,229.0
184,Segment 1,569.81,0.0,0,19.0
185,Segment 2,475.75,0.0,2,125.0
186,Segment 2,236.09,187.8,1,21.0
187,Segment 2,528.92,182.1,0,26.0
188,Segment 4,1230.16,1573.23,9,0.0
189,Segment 0,135.4,0.0,0,312.0
190,Segment 2,424.68,236.32,0,50.0
191,Segment 2,350.13,2634.98,0,76.0
192,Segment 1,734.34,1665.34,4,28.0
193,Segment 4,580.67,496.72,8,16.0
194,Segment 4,1011.06,1139.08,15,12.0
195,Segment 2,510.25,50.1,4,12.0
196,Segment 2,367.48,75.68,0,69.0
197,Segment 2,496.35,0.0,2,184.0
198,Segment 2,182.86,0.0,0,212.0
199,Segment 4,672.1,712.92,6,126.0
200,Segment 4,1083.78,1630.46,6,5.0
201,Segment 2,330.1,0.0,0,85.0
202,Segment 1,686.57,2093.19,2,221.0
203,Segment 1,321.3,391.85,1,105.0
204,Segment 4,368.55,2313.15,2,42.0
205,Segment 2,617.64,741.75,0,12.0
206,Segment 4,5514.27,5738.0,23,8.0
207,Segment 2,462.64,0.0,0,40.0
208,Segment 4,693.81,0.0,6,84.0
209,Segment 4,1459.97,0.0,3,19.0
210,Segment 1,316.68,4735.8,1,124.0
211,Segment 2,417.16,0.0,1,193.0
212,Segment 4,584.14,480.5,3,264.0
213,Segment 1,189.55,0.0,1,328.0
214,Segment 1,1308.14,398.43,4,4.0
215,Segment 0,121.53,0.0,0,356.0
216,Segment 2,331.84,1509.18,1,200.0
217,Segment 4,1716.36,3579.75,6,47.0
218,Segment 0,100.28,511.69,0,447.0
219,Segment 4,402.87,0.0,2,46.0
220,Segment 4,1531.82,1707.72,6,28.0
221,Segment 1,285.03,477.91,2,238.0
222,Segment 4,763.38,866.48,5,27.0
223,Segment 4,3869.47,1204.51,26,7.0
224,Segment 0,234.13,300.05,2,245.0
225,Segment 4,603.15,230.51,5,20.0
226,Segment 2,284.61,0.0,3,142.0
227,Segment 1,529.66,0.0,1,139.0
228,Segment 4,426.2,1430.75,1,104.0
229,Segment 2,485.12,228.23,1,5.0
230,Segment 2,171.44,0.0,0,231.0
231,Segment 1,1188.02,2185.07,4,11.0
232,Segment 2,164.41,0.0,0,244.0
233,Segment 4,1344.13,2307.38,12,47.0
234,Segment 0,83.33,0.0,1,432.0
235,Segment 4,594.35,3208.3,3,40.0
236,Segment 1,150.57,0.0,2,132.0
237,Segment 1,189.5,0.0,0,202.0
238,Segment 4,2498.47,709.51,7,67.0
239,Segment 2,380.98,399.43,0,64.0
240,Segment 4,565.14,1797.76,3,7.0
241,Segment 0,107.07,0.0,0,414.0
242,Segment 1,196.27,0.0,1,137.0
243,Segment 2,310.95,353.62,1,134.0
244,Segment 2,596.18,1245.62,0,15.0
245,Segment 1,88.18,0.0,1,361.0
246,Segment 2,833.22,463.99,4,68.0
247,Segment 0,133.41,0.0,1,363.0
248,Segment 4,5361.91,12659.42,8,61.0
249,Segment 2,449.49,147.34,1,13.0
250,Segment 4,6517.77,5009.16,33,6.0
251,Segment 4,4343.63,6300.53,30,0.0
252,Segment 4,2055.78,3500.52,11,19.0
253,Segment 2,1233.97,1258.53,1,5.0
254,Segment 2,206.8,0.0,0,179.0
255,Segment 2,144.39,0.0,0,288.0
256,Segment 2,610.31,0.0,0,13.0
257,Segment 2,370.16,575.6,2,127.0
258,Segment 0,100.67,0.0,0,445.0
259,Segment 4,492.75,179.19,5,19.0
260,Segment 1,172.57,761.67,0,229.0
261,Segment 4,248.03,492.85,3,18.0
262,Segment 0,280.66,0.0,1,242.0
263,Segment 0,110.7,0.0,0,398.0
264,Segment 2,174.88,0.0,0,225.0
265,Segment 2,545.7,3541.56,0,23.0
266,Segment 4,572.26,424.63,4,50.0
267,Segment 0,80.69,256.7,1,441.0
268,Segment 4,2723.36,3439.59,6,9.0
269,Segment 2,303.14,0.0,0,99.0
270,Segment 4,1044.58,1183.9,12,8.0
271,Segment 4,6760.01,5564.3,20,25.0
272,Segment 1,640.71,376.06,0,9.0
273,Segment 0,213.31,0.0,1,419.0
274,Segment 4,1221.14,1887.65,15,8.0
275,Segment 4,2906.98,2676.94,8,14.0
276,Segment 4,291.65,321.24,1,53.0
277,Segment 4,1555.26,3053.46,12,0.0
278,Segment 4,922.03,1404.31,4,54.0
279,Segment 2,440.28,786.51,3,140.0
280,Segment 4,418.23,0.0,2,179.0
281,Segment 4,834.06,1389.82,7,22.0
282,Segment 4,925.74,1703.38,5,89.0
283,Segment 2,571.87,201.02,3,65.0
284,Segment 0,129.68,0.0,0,329.0
285,Segment 4,4645.96,10649.32,9,20.0
286,Segment 4,479.61,0.0,3,42.0
287,Segment 2,387.55,0.0,2,160.0
288,Segment 2,491.54,0.0,1,123.0
289,Segment 2,244.68,0.0,0,140.0
290,Segment 2,205.98,0.0,0,180.0
291,Segment 2,189.5,975.54,0,202.0
292,Segment 0,125.92,0.0,0,341.0
293,Segment 1,103.06,0.0,0,433.0
294,Segment 4,2575.08,4948.58,3,56.0
295,Segment 0,184.68,0.0,1,294.0
296,Segment 1,123.83,0.0,0,348.0
297,Segment 4,2039.98,2104.61,20,6.0
298,Segment 3,7884.41,21275.37,121,0.0
299,Segment 1,1204.64,3036.1,3,21.0
300,Segment 2,160.37,0.0,0,252.0
301,Segment 1,6313.9,8322.36,3,56.0
302,Segment 2,2768.4,0.0,2,43.0
303,Segment 4,1066.36,0.0,2,88.0
304,Segment 2,569.81,3558.92,0,19.0
305,Segment 4,1800.21,1221.4,5,84.0
306,Segment 4,993.13,996.64,5,83.0
307,Segment 2,155.12,0.0,0,263.0
308,Segment 2,151.08,0.0,0,272.0
309,Segment 2,208.45,174.0,0,177.0
310,Segment 2,264.58,0.0,0,124.0
311,Segment 0,197.77,0.0,5,280.0
312,Segment 4,2844.33,2861.92,5,48.0
313,Segment 2,203.57,0.0,0,183.0
314,Segment 2,439.09,0.0,0,46.0
315,Segment 1,777.26,0.0,1,18.0
316,Segment 1,142.42,0.0,0,293.0
317,Segment 0,125.32,0.0,0,343.0
318,Segment 2,688.56,611.16,4,11.0
319,Segment 0,95.17,0.0,0,475.0
320,Segment 2,154.2,0.0,0,265.0
321,Segment 4,453.02,330.17,5,67.0
322,Segment 4,1533.48,987.59,10,6.0
323,Segment 0,108.86,0.0,0,406.0
324,Segment 1,316.04,237.48,0,92.0
325,Segment 4,1427.24,627.97,8,61.0
326,Segment 0,127.15,476.82,0,337.0
327,Segment 1,254.18,0.0,2,172.0
328,Segment 0,106.42,0.0,0,417.0
329,Segment 2,286.6,275.56,1,0.0
330,Segment 0,102.27,0.0,3,271.0
331,Segment 0,113.97,76.85,1,320.0
332,Segment 1,366.68,0.0,1,0.0
333,Segment 0,276.64,0.0,4,181.0
334,Segment 2,271.21,0.0,1,64.0
335,Segment 2,419.42,0.0,2,142.0
336,Segment 0,102.45,0.0,0,436.0
337,Segment 1,250.78,0.0,1,173.0
338,Segment 2,172.57,6977.04,0,229.0
339,Segment 0,127.15,0.0,0,337.0
340,Segment 0,140.14,0.0,1,278.0
341,Segment 1,136.82,0.0,0,308.0
342,Segment 0,336.93,382.58,3,252.0
343,Segment 2,190.2,0.0,0,201.0
344,Segment 0,164.58,0.0,1,273.0
345,Segment 0,388.78,0.0,3,189.0
346,Segment 0,343.71,0.0,1,380.0
347,Segment 2,197.4,0.0,0,191.0
348,Segment 2,243.34,354.25,2,176.0
349,Segment 1,184.35,400.36,1,373.0
350,Segment 0,180.35,0.0,1,342.0
351,Segment 2,567.29,0.0,3,69.0
352,Segment 0,409.55,0.0,2,309.0
353,Segment 2,665.59,368.1,0,6.0
354,Segment 2,407.9,0.0,2,89.0
355,Segment 1,367.48,0.0,0,69.0
356,Segment 2,153.75,0.0,0,266.0
357,Segment 4,572.5,771.88,7,134.0
358,Segment 4,155.9,0.0,1,22.0
359,Segment 4,1806.85,765.0,12,62.0
360,Segment 0,172.58,0.0,1,329.0
361,Segment 4,543.74,771.02,7,124.0
362,Segment 4,236.9,0.0,2,144.0
363,Segment 2,270.3,0.0,1,70.0
364,Segment 2,319.93,0.0,0,90.0
365,Segment 4,0.01,0.0,36,235.0
366,Segment 4,1633.53,948.96,11,27.0
367,Segment 0,115.86,134.1,0,377.0
368,Segment 4,547.42,281.16,8,181.0
369,Segment 4,1641.26,4195.53,15,6.0
370,Segment 4,971.91,1148.8,4,22.0
371,Segment 4,2210.52,1940.39,26,30.0
372,Segment 4,289.24,808.26,2,116.0
373,Segment 4,1672.78,1075.2,19,21.0
374,Segment 0,175.3,325.96,1,250.0
375,Segment 2,565.22,0.0,3,75.0
376,Segment 2,194.45,843.64,0,195.0
377,Segment 0,93.8,0.0,0,483.0
378,Segment 4,932.75,341.44,4,76.0
379,Segment 2,159.87,0.0,0,253.0
380,Segment 0,145.6,131.81,0,285.0
381,Segment 1,297.93,0.0,0,102.0
382,Segment 1,847.91,1019.1,5,47.0
383,Segment 4,650.72,505.88,5,49.0
384,Segment 2,241.98,0.0,2,180.0
385,Segment 4,1204.98,0.0,5,18.0
386,Segment 2,197.4,0.0,0,191.0
387,Segment 2,153.75,0.0,0,266.0
388,Segment 0,90.86,0.0,0,501.0
389,Segment 0,104.29,0.0,0,427.0
390,Segment 2,303.8,0.0,1,233.0
391,Segment 4,603.88,521.2,4,187.0
392,Segment 0,134.01,147.12,0,316.0
393,Segment 1,416.14,1568.23,1,186.0
394,Segment 2,487.31,0.0,2,91.0
395,Segment 4,1684.67,2251.25,9,22.0
396,Segment 2,1213.26,248.06,6,26.0
397,Segment 0,92.8,0.0,0,489.0
398,Segment 4,553.12,0.0,2,183.0
399,Segment 2,257.29,248.64,1,15.0
400,Segment 4,819.74,0.0,11,134.0
401,Segment 4,550.16,0.0,2,90.0
402,Segment 1,265.75,0.0,1,193.0
403,Segment 4,385.79,49.47,3,170.0
404,Segment 4,680.74,1386.59,2,4.0
405,Segment 4,710.04,853.73,14,8.0
406,Segment 2,920.7,0.0,1,44.0
407,Segment 0,222.59,0.0,1,189.0
408,Segment 2,334.35,0.0,0,83.0
409,Segment 1,523.56,603.4,0,27.0
410,Segment 2,197.4,0.0,0,191.0
411,Segment 2,542.32,0.0,1,22.0
412,Segment 2,228.69,0.0,3,189.0
413,Segment 2,194.45,376.72,0,195.0
414,Segment 4,375.4,85.0,8,28.0
415,Segment 2,188.14,0.0,0,204.0
416,Segment 0,114.34,0.0,0,383.0
417,Segment 2,329.06,0.0,3,12.0
418,Segment 0,144.27,0.0,1,271.0
419,Segment 2,177.26,0.0,0,221.0
420,Segment 2,172.0,0.0,0,230.0
421,Segment 2,8064.41,9384.54,7,8.0
422,Segment 2,359.84,0.0,0,72.0
423,Segment 2,168.66,0.0,0,236.0
424,Segment 0,175.85,0.0,1,384.0
425,Segment 2,212.75,0.0,1,203.0
426,Segment 4,322.62,432.0,2,120.0
427,Segment 4,817.76,642.91,4,9.0
428,Segment 4,1118.27,1932.54,5,5.0
429,Segment 4,120.68,0.0,0,359.0
430,Segment 4,1266.7,1617.24,10,90.0
431,Segment 2,185.46,0.0,0,208.0
432,Segment 1,308.52,164.0,2,180.0
433,Segment 4,1175.21,693.37,5,9.0
434,Segment 4,652.64,594.0,3,208.0
435,Segment 0,125.23,162.78,1,379.0
436,Segment 4,6974.76,11005.6,34,20.0
437,Segment 0,180.97,171.57,1,198.0
438,Segment 4,694.44,278.43,9,6.0
439,Segment 0,110.24,694.05,0,400.0
440,Segment 4,390.11,0.0,3,219.0
441,Segment 2,189.5,0.0,0,202.0
442,Segment 4,1195.47,1282.66,7,49.0
443,Segment 1,271.49,0.0,0,119.0
444,Segment 4,12284.25,29675.91,34,11.0
445,Segment 0,31.6,0.0,6,347.0
446,Segment 4,381.75,496.78,4,91.0
447,Segment 0,84.54,0.0,0,544.0
448,Segment 4,1040.3,1294.47,8,11.0
449,Segment 4,651.77,1076.04,6,5.0
450,Segment 4,6210.88,4353.48,12,81.0
451,Segment 0,86.21,0.0,0,532.0
452,Segment 2,338.51,279.08,1,5.0
453,Segment 0,127.06,0.0,1,366.0
454,Segment 2,221.76,317.56,0,162.0
455,Segment 4,241.31,0.0,1,96.0
456,Segment 2,164.41,0.0,0,244.0
457,Segment 1,621.71,551.77,2,42.0
458,Segment 4,397.75,1167.44,4,22.0
459,Segment 4,3573.51,1916.52,12,14.0
460,Segment 4,941.51,425.69,12,12.0
461,Segment 0,129.36,329.85,0,330.0
462,Segment 0,100.48,0.0,0,446.0
463,Segment 2,695.54,4036.84,2,11.0
464,Segment 4,240.32,0.0,3,114.0
465,Segment 4,1476.92,2866.12,6,12.0
466,Segment 0,215.18,0.0,1,208.0
467,Segment 0,142.81,0.0,0,292.0
468,Segment 0,353.07,0.0,3,221.0
469,Segment 2,200.43,0.0,0,187.0
470,Segment 2,469.99,1490.83,4,173.0
471,Segment 2,163.89,0.0,0,245.0
472,Segment 1,685.09,0.0,2,166.0
473,Segment 0,107.96,0.0,0,410.0
474,Segment 4,330.12,381.67,3,130.0
475,Segment 3,2873.79,6331.54,60,4.0
476,Segment 1,291.76,0.0,3,221.0
477,Segment 2,177.26,0.0,0,221.0
478,Segment 4,189.67,0.0,1,5.0
479,Segment 4,448.56,0.0,4,244.0
480,Segment 4,1031.45,0.0,6,19.0
481,Segment 0,156.93,39.24,1,309.0
482,Segment 4,499.66,0.0,4,193.0
483,Segment 1,85.51,0.0,0,537.0
484,Segment 4,3855.99,2598.84,17,18.0
485,Segment 1,827.45,0.0,7,50.0
486,Segment 0,108.86,0.0,0,406.0
487,Segment 1,376.32,0.0,5,267.0
488,Segment 4,349.69,254.4,3,5.0
489,Segment 2,301.38,0.0,0,100.0
490,Segment 4,2862.8,3532.87,20,8.0
491,Segment 4,308.44,312.0,4,118.0
492,Segment 2,193.01,503.76,0,197.0
493,Segment 0,86.07,0.0,0,533.0
494,Segment 4,383.02,239.46,4,15.0
495,Segment 1,350.13,585.82,0,76.0
496,Segment 2,203.57,0.0,0,183.0
497,Segment 1,656.19,614.67,5,44.0
498,Segment 0,238.79,0.0,2,300.0
499,Segment 2,709.57,0.0,2,4.0
500,Segment 4,232.15,76.32,2,67.0
501,Segment 4,6304.38,2474.97,28,25.0
502,Segment 2,304.2,0.0,2,126.0
503,Segment 2,551.53,90.0,0,22.0
504,Segment 4,2461.59,3197.01,23,22.0
505,Segment 1,436.99,192.05,2,54.0
506,Segment 0,113.35,0.0,0,387.0
507,Segment 1,206.15,0.0,2,131.0
508,Segment 0,94.31,0.0,0,480.0
509,Segment 0,155.15,0.0,1,182.0
510,Segment 2,205.98,0.0,0,180.0
511,Segment 4,578.43,924.45,3,102.0
512,Segment 4,2519.88,2414.7,17,20.0
513,Segment 1,907.01,2072.45,3,28.0
514,Segment 4,1678.89,1576.6,7,5.0
515,Segment 4,1978.56,3603.74,12,4.0
516,Segment 4,344.74,0.0,5,187.0
517,Segment 0,125.49,0.0,1,370.0
518,Segment 4,923.89,1846.43,10,23.0
519,Segment 2,168.12,0.0,0,237.0
520,Segment 0,127.46,599.9,0,336.0
521,Segment 1,195.09,0.0,1,278.0
522,Segment 0,85.23,0.0,0,539.0
523,Segment 4,312.23,715.05,5,28.0
524,Segment 4,4441.08,3072.0,15,41.0
525,Segment 2,411.23,865.0,2,161.0
526,Segment 2,209.29,350.08,0,176.0
527,Segment 4,690.12,0.0,4,215.0
528,Segment 2,473.91,996.52,3,200.0
529,Segment 2,262.51,0.0,1,165.0
530,Segment 2,257.65,476.91,1,177.0
531,Segment 2,351.89,554.13,1,68.0
532,Segment 0,92.31,0.0,0,492.0
533,Segment 4,1066.93,303.75,9,27.0
534,Segment 2,304.92,513.36,0,98.0
535,Segment 0,147.98,0.0,3,392.0
536,Segment 0,226.58,0.0,3,258.0
537,Segment 0,200.27,0.0,2,406.0
538,Segment 1,338.71,0.0,0,81.0
539,Segment 4,1469.5,0.0,10,99.0
540,Segment 2,212.75,305.28,1,209.0
541,Segment 2,267.82,431.59,1,74.0
542,Segment 4,2042.65,1449.27,14,27.0
543,Segment 4,984.21,865.99,6,46.0
544,Segment 2,539.91,502.9,2,126.0
545,Segment 4,2674.78,2902.7,25,12.0
546,Segment 0,98.15,0.0,1,386.0
547,Segment 4,968.35,0.0,5,20.0
548,Segment 0,103.88,0.0,0,429.0
549,Segment 1,366.04,857.1,1,21.0
550,Segment 0,120.68,0.0,0,359.0
551,Segment 0,151.3,0.0,2,338.0
552,Segment 4,724.74,0.0,8,57.0
553,Segment 2,389.57,0.0,0,61.0
554,Segment 0,144.39,0.0,0,288.0
555,Segment 4,308.22,902.29,2,135.0
556,Segment 4,397.69,0.0,4,181.0
557,Segment 2,205.27,115.46,1,217.0
558,Segment 2,260.61,179.0,0,127.0
559,Segment 4,2837.72,1756.48,21,6.0
560,Segment 4,280.11,0.0,3,0.0
561,Segment 0,105.77,0.0,0,420.0
562,Segment 2,354.92,0.0,0,74.0
563,Segment 2,194.3,0.0,1,219.0
564,Segment 0,286.06,0.0,3,319.0
565,Segment 0,154.2,0.0,0,265.0
566,Segment 4,778.84,151.83,8,98.0
567,Segment 4,6069.23,8092.42,39,8.0
568,Segment 2,174.88,220.1,0,225.0
569,Segment 0,169.38,58.08,2,209.0
570,Segment 4,12105.18,13789.37,20,25.0
571,Segment 4,1759.06,1653.45,12,43.0
572,Segment 2,170.32,303.75,0,233.0
573,Segment 1,140.12,0.0,0,299.0
574,Segment 4,508.31,137.98,3,103.0
575,Segment 2,198.15,0.0,0,190.0
576,Segment 0,85.93,0.0,0,534.0
577,Segment 2,174.88,0.0,0,225.0
578,Segment 3,24139.08,30741.35,97,7.0
579,Segment 4,3256.72,5751.82,14,46.0
580,Segment 0,85.51,319.82,0,537.0
581,Segment 4,667.47,38.08,10,19.0
582,Segment 3,5961.36,0.0,42,83.0
583,Segment 2,846.09,834.24,7,13.0
584,Segment 2,189.5,0.0,0,202.0
585,Segment 4,2863.35,2919.26,17,41.0
586,Segment 1,6138.22,21634.65,7,6.0
587,Segment 4,281.69,0.0,3,42.0
588,Segment 4,3288.35,2654.93,24,6.0
589,Segment 0,221.81,243.94,1,245.0
590,Segment 4,362.19,884.76,4,75.0
591,Segment 2,164.41,0.0,0,244.0
592,Segment 2,177.26,59.5,0,221.0
593,Segment 1,1152.69,964.78,5,141.0
594,Segment 2,316.73,0.0,1,180.0
595,Segment 1,120.68,766.84,0,359.0
596,Segment 4,629.61,756.18,7,65.0
597,Segment 0,87.08,0.0,0,526.0
598,Segment 0,123.54,0.0,0,349.0
599,Segment 1,4905.76,2940.27,27,0.0
600,Segment 0,85.37,0.0,0,538.0
601,Segment 4,780.5,2225.18,5,187.0
602,Segment 4,835.64,233.54,15,25.0
603,Segment 2,1199.86,338.71,6,16.0
604,Segment 0,94.99,0.0,0,476.0
605,Segment 2,439.09,0.0,0,46.0
606,Segment 1,347.78,0.0,0,77.0
607,Segment 2,431.76,18.72,0,48.0
608,Segment 0,162.94,0.0,1,280.0
609,Segment 2,1712.27,1239.86,2,60.0
610,Segment 0,129.04,0.0,0,331.0
611,Segment 4,879.52,1002.27,8,61.0
612,Segment 0,101.85,0.0,0,439.0
613,Segment 0,164.7,0.0,1,260.0
614,Segment 4,531.74,1039.3,2,226.0
615,Segment 2,367.48,0.0,0,69.0
616,Segment 2,243.92,0.0,2,81.0
617,Segment 2,728.05,1250.88,3,42.0
618,Segment 4,1400.51,0.0,1,4.0
619,Segment 4,1139.72,1992.67,5,20.0
620,Segment 4,1965.56,2755.85,9,60.0
